{1: [6, 5], 2: [7], 3: [4, 2, 3, 1], 'total_second': 9194}
{1: [7, 5], 2: [6], 3: [4, 2, 3, 1], 'total_second': 11149}
{1: [5, 3, 1], 2: [2, 6], 3: [4, 7], 'total_second': 9574}
{1: [4, 7], 2: [2, 6], 3: [5, 3, 1], 'total_second': 9986}
{1: [3, 5], 2: [2, 6], 3: [4, 7, 1], 'total_second': 10381}
{1: [4, 7, 1], 2: [2, 6], 3: [5, 3], 'total_second': 10766}
{1: [7, 5], 2: [2, 6], 3: [4, 3, 1], 'total_second': 11200}
{1: [7, 5, 1], 2: [2, 6], 3: [4, 3], 'total_second': 11313}
{1: [4, 3], 2: [2, 6], 3: [7, 5, 1], 'total_second': 11540}
{1: [3, 5], 2: [2, 6, 1], 3: [4, 7], 'total_second': 9460}
{1: [4, 7], 2: [2, 6, 1], 3: [5, 3], 'total_second': 9929}
{1: [7, 5], 2: [2, 6, 1], 3: [4, 3], 'total_second': 11143}
{1: [4, 3], 2: [2, 6, 1], 3: [7, 5], 'total_second': 11379}
{1: [4, 3, 1], 2: [7], 3: [2, 6, 5], 'total_second': 9542}
{1: [4, 3, 1], 2: [7, 2], 3: [6, 5], 'total_second': 10920}
{1: [4, 3, 1], 2: [2, 6], 3: [7, 5], 'total_second': 11449}
{1: [4, 3, 1], 2: [6], 3: [7, 2, 5], 'total_second': 11579}
{1: [4, 2, 3, 1], 2: [7], 3: [6, 5], 'total_second': 9484}
{1: [4, 2, 3, 1], 2: [6], 3: [7, 5], 'total_second': 11398}
{1: [4, 7, 2, 1], 2: [], 3: [6, 3, 5], 'total_second': 7486}
{1: [7, 2, 1], 2: [4], 3: [6, 3, 5], 'total_second': 7646}
{1: [], 2: [7, 2, 1, 4], 3: [6, 3, 5], 'total_second': 7752}
{1: [2, 1], 2: [7, 4], 3: [6, 3, 5], 'total_second': 8277}
{1: [4], 2: [7, 2, 1], 3: [6, 3, 5], 'total_second': 8480}
{1: [7], 2: [4, 2, 1], 3: [6, 3, 5], 'total_second': 8541}
{1: [4, 2, 1], 2: [7], 3: [6, 3, 5], 'total_second': 8627}
{1: [4, 7], 2: [2, 1], 3: [6, 3, 5], 'total_second': 9013}
{1: [1], 2: [7, 2, 4], 3: [6, 3, 5], 'total_second': 9133}
{1: [2], 2: [7, 1, 4], 3: [6, 3, 5], 'total_second': 9187}
{1: [7, 1], 2: [2, 4], 3: [6, 3, 5], 'total_second': 9294}
{1: [7, 2], 2: [1, 4], 3: [6, 3, 5], 'total_second': 9417}
{1: [4, 2], 2: [7, 1], 3: [6, 3, 5], 'total_second': 9553}
{1: [4, 1], 2: [7, 2], 3: [6, 3, 5], 'total_second': 9701}
{1: [4, 7, 1], 2: [2], 3: [6, 3, 5], 'total_second': 9844}
{1: [4, 7, 2], 2: [1], 3: [6, 3, 5], 'total_second': 9848}
{1: [2, 5, 3, 1], 2: [6, 4], 3: [7], 'total_second': 9401}
{1: [2, 3, 5], 2: [6, 4], 3: [7, 1], 'total_second': 10175}
{1: [7, 1], 2: [6, 4], 3: [2, 3, 5], 'total_second': 10231}
{1: [3, 5], 2: [6, 4], 3: [7, 2, 1], 'total_second': 10553}
{1: [5, 3, 1], 2: [6, 4], 3: [7, 2], 'total_second': 10635}
{1: [7, 2, 1], 2: [6, 4], 3: [5, 3], 'total_second': 10698}
{1: [7, 2], 2: [6, 4], 3: [5, 3, 1], 'total_second': 10716}
{1: [2, 3, 1], 2: [6, 4], 3: [7, 5], 'total_second': 10969}
{1: [7, 5], 2: [6, 4], 3: [2, 3, 1], 'total_second': 11007}
{1: [3, 1], 2: [6, 4], 3: [7, 2, 5], 'total_second': 11051}
{1: [2, 3], 2: [6, 4], 3: [7, 5, 1], 'total_second': 11060}
{1: [7, 5, 1], 2: [6, 4], 3: [2, 3], 'total_second': 11120}
{1: [7, 2, 5], 2: [6, 4], 3: [3, 1], 'total_second': 11191}
{1: [7, 1, 2, 5], 2: [6, 4], 3: [3], 'total_second': 11287}
{1: [7, 1, 2, 5], 2: [], 3: [4, 6, 3], 'total_second': 7708}
{1: [2, 5, 1], 2: [7], 3: [4, 6, 3], 'total_second': 8931}
{1: [7], 2: [2, 5, 1], 3: [4, 6, 3], 'total_second': 9252}
{1: [2, 5], 2: [7, 1], 3: [4, 6, 3], 'total_second': 9726}
{1: [7, 2, 5], 2: [1], 3: [4, 6, 3], 'total_second': 9956}
{1: [7, 1], 2: [2, 5], 3: [4, 6, 3], 'total_second': 9961}
{1: [5], 2: [7, 2, 1], 3: [4, 6, 3], 'total_second': 10071}
{1: [7, 5], 2: [2, 1], 3: [4, 6, 3], 'total_second': 10215}
{1: [5, 1], 2: [7, 2], 3: [4, 6, 3], 'total_second': 10235}
{1: [7, 2, 1], 2: [5], 3: [4, 6, 3], 'total_second': 10320}
{1: [7, 5, 1], 2: [2], 3: [4, 6, 3], 'total_second': 10379}
{1: [7, 2], 2: [5, 1], 3: [4, 6, 3], 'total_second': 10409}
{1: [7, 6], 2: [1, 4], 3: [2, 3, 5], 'total_second': 10261}
{1: [7, 6], 2: [2, 4], 3: [5, 3, 1], 'total_second': 10623}
{1: [7, 6], 2: [4, 2, 1], 3: [5, 3], 'total_second': 10650}
{1: [7, 6], 2: [5, 4], 3: [2, 3, 1], 'total_second': 11086}
{1: [7, 6], 2: [4, 5, 1], 3: [2, 3], 'total_second': 11161}
{1: [7, 6], 2: [5], 3: [4, 2, 3, 1], 'total_second': 11184}
{1: [7, 6], 2: [4, 2, 5], 3: [3, 1], 'total_second': 11185}
{1: [7, 6], 2: [5, 1], 3: [4, 2, 3], 'total_second': 11255}
{1: [7, 6], 2: [4, 2, 5, 1], 3: [3], 'total_second': 11256}
{1: [7, 6], 2: [2, 5], 3: [4, 3, 1], 'total_second': 11302}
{1: [7, 6], 2: [2, 5, 1], 3: [4, 3], 'total_second': 11373}
{1: [2, 3, 5], 2: [4, 6, 1], 3: [7], 'total_second': 9267}
{1: [7], 2: [4, 6, 1], 3: [2, 3, 5], 'total_second': 9407}
{1: [3, 5], 2: [4, 6, 1], 3: [7, 2], 'total_second': 10534}
{1: [7, 2], 2: [4, 6, 1], 3: [5, 3], 'total_second': 10672}
{1: [2, 3], 2: [4, 6, 1], 3: [7, 5], 'total_second': 10912}
{1: [7, 5], 2: [4, 6, 1], 3: [2, 3], 'total_second': 10963}
{1: [3], 2: [4, 6, 1], 3: [7, 2, 5], 'total_second': 10994}
{1: [7, 2, 5], 2: [4, 6, 1], 3: [3], 'total_second': 11147}
{1: [4, 6, 3], 2: [7], 3: [2, 5, 1], 'total_second': 9205}
{1: [4, 6, 3], 2: [2, 5, 1], 3: [7], 'total_second': 9395}
{1: [4, 6, 3], 2: [7, 1], 3: [2, 5], 'total_second': 10009}
{1: [4, 6, 3], 2: [2, 5], 3: [7, 1], 'total_second': 10188}
{1: [4, 6, 3], 2: [1], 3: [7, 2, 5], 'total_second': 10192}
